document_id,model,output_words
1020220144926b1_15_1,qwen,1108
1020220150538B1_21_1_Claude_ADR,unknown,1036
1020220150538B1_21_1_GPT_ADR,unknown,427
1020220150538B1_21_1_Mistral_ADR,unknown,975
1020220150538b1_21_1,qwen,707
1020220150538B1_21_1_gemini_ADR,unknown,474
1020220150538b1_21_1,gemma,756
1020220150538b1_21_1,ministral,1093
1020220150538b1_21_1,qwen,965
1020220152590B1_12_1_Claude_ADR,unknown,880
1020220152590B1_12_1_GPT_ADR,unknown,395
1020220152590B1_12_1_Mistral_ADR,unknown,531
1020220152590b1_12_1,qwen,637
1020220152590B1_12_1_gemini_ADR,unknown,467
1020220152590b1_12_1,gemma,865
1020220152590b1_12_1,ministral,1191
1020220152590b1_12_1,qwen,659
1020227017171B1_26_1_Claude_ADR,unknown,1100
1020227017171B1_26_1_GPT_ADR,unknown,432
1020227017171B1_26_1_Mistral_ADR,unknown,950
1020227017171b1_26_1,qwen,672
1020227017171B1_26_1_gemini_ADR,unknown,434
1020227017171b1_26_1,gemma,922
1020227017171b1_26_1,ministral,1264
1020227017171b1_26_1,qwen,739
1020230032361B1_13_1_Claude_ADR,unknown,1032
1020230032361B1_13_1_GPT_ADR,unknown,387
1020230032361B1_13_1_Mistral_ADR,unknown,1059
1020230032361b1_13_1,qwen,633
1020230032361B1_13_1_gemini_ADR,unknown,546
1020230032361b1_13_1,gemma,786
1020230032361b1_13_1,ministral,973
1020230032361b1_13_1,qwen,1066
1020230032361B1_14_2_Claude_ADR,unknown,1248
1020230032361B1_14_2_GPT_ADR,unknown,425
1020230032361B1_14_2_Mistral_ADR,unknown,1059
1020230032361b1_14_2,qwen,688
1020230032361B1_14_2_gemini_ADR,unknown,466
1020230032361b1_14_2,gemma,902
1020230032361b1_14_2,ministral,913
1020230032361b1_14_2,qwen,859
1020230040785B1_15_1_Claude_ADR,unknown,731
1020230040785B1_15_1_GPT_ADR,unknown,430
1020230040785B1_15_1_Mistral_ADR,unknown,622
1020230040785b1_15_1,qwen,613
1020230040785B1_15_1_gemini_ADR,unknown,484
1020230040785b1_15_1,gemma,888
1020230040785b1_15_1,ministral,1079
1020230040785b1_15_1,qwen,936
1020230100692B1_16_1_Claude_ADR,unknown,976
1020230100692B1_16_1_GPT_ADR,unknown,410
1020230100692B1_16_1_Mistral_ADR,unknown,709
1020230100692b1_16_1,qwen,609
1020230100692B1_16_1_gemini_ADR,unknown,452
1020230100692b1_16_1,gemma,714
1020230100692b1_16_1,ministral,1138
1020230100692b1_16_1,qwen,1192
1020230160432B1_1_1_Claude_ADR,unknown,998
1020230160432B1_1_1_GPT_ADR,unknown,446
1020230160432B1_1_1_Mistral_ADR,unknown,621
1020230160432b1_1_1,qwen,645
1020230160432B1_1_1_gemini_ADR,unknown,482
1020230160432b1_1_1,gemma,759
1020230160432b1_1_1,ministral,969
1020230160432b1_1_1,qwen,839
1020230172170B1_11_2_Claude_ADR,unknown,1064
1020230172170B1_11_2_GPT_ADR,unknown,452
1020230172170B1_11_2_Mistral_ADR,unknown,658
1020230172170b1_11_2,qwen,632
1020230172170B1_11_2_gemini_ADR,unknown,524
1020230172170b1_11_2,gemma,899
1020230172170b1_11_2,ministral,1051
1020230172170b1_11_2,qwen,717
1020237001591B1_28_1_Claude_ADR,unknown,798
1020237001591B1_28_1_GPT_ADR,unknown,429
1020237001591B1_28_1_Mistral_ADR,unknown,451
1020237001591b1_28_1,qwen,623
1020237001591B1_28_1_gemini_ADR,unknown,463
1020237001591b1_28_1,gemma,798
1020237001591b1_28_1,ministral,1274
1020237001591b1_28_1,qwen,623
1020240064612A_1_1_Claude_ADR,unknown,794
1020240064612A_1_1_GPT_ADR,unknown,405
1020240064612A_1_1_Mistral_ADR,unknown,536
1020240064612a_1_1,qwen,572
1020240064612A_1_1_gemini_ADR,unknown,413
1020240064612a_1_1,gemma,750
1020240064612a_1_1,ministral,880
1020240064612a_1_1,qwen,544
1020240066246A_11_1_Claude_ADR,unknown,1126
1020240066246A_11_1_GPT_ADR,unknown,507
1020240066246A_11_1_Mistral_ADR,unknown,573
1020240066246a_11_1,qwen,697
1020240066246A_11_1_gemini_ADR,unknown,469
1020240066246a_11_1,gemma,959
1020240066246a_11_1,ministral,947
1020240066246a_11_1,qwen,970
1020240107829B1_11_2_Claude_ADR,unknown,831
1020240107829B1_11_2_GPT_ADR,unknown,844
1020240107829B1_11_2_Mistral_ADR,unknown,789
1020240107829B1_11_2_gemini_ADR,unknown,450
1020240107829b1_11_2,gemma,754
1020240107829b1_11_2,ministral,931
AI기반의스마트굴뚝자동측정기기TMS개발_157_1_GPT_ADR,unknown,372
ai기반의스마트굴뚝자동측정기기tms개발_157_1,gemma,836
ai기반의스마트굴뚝자동측정기기tms개발_50_2,qwen,611
sw융합 서비스 사업화 지원 사업계획서_6_2,gemma,930
tcc-0085(nfc기반지하매설물정보제공스마트표지기)-최종본_13_2,qwen,676
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1,ministral,990
동충하초생육환경빅데이터구축과오염발생최소화를위한AI기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1_gemini_ADR,unknown,495
스마트 축산기술 및 연구 동향_64_1_GPT_ADR,unknown,488
스마트팜상용화통합솔루션기술개발_134_1,ministral,1034
오리축사바닥깔짚관리용자율주행로봇개발_13_1,gemma,854
인공지능강화학습기반의토마토온실최적환경자동제어알고리즘개발_7_3,ministral,1347
중량제어방식의스마트팜용양액재배관리장치개발_13_2_gemini_ADR,unknown,465
