document_id,model,output_words
1020220144926b1_15_1,gemma,793
1020220144926b1_15_1,ministral,956
1020220144926b1_15_1,qwen,1108
1020220150538B1_21_1_Claude_ADR,unknown,1036
1020220150538B1_21_1_GPT_ADR,unknown,427
1020220150538B1_21_1_Mistral_ADR,unknown,975
1020220150538b1_21_1,qwen,707
1020220150538B1_21_1_gemini_ADR,unknown,474
1020220150538b1_21_1,gemma,756
1020220150538b1_21_1,ministral,1093
1020220150538b1_21_1,qwen,965
1020220152590B1_12_1_Claude_ADR,unknown,880
1020220152590B1_12_1_GPT_ADR,unknown,395
1020220152590B1_12_1_Mistral_ADR,unknown,531
1020220152590b1_12_1,qwen,637
1020220152590B1_12_1_gemini_ADR,unknown,467
1020220152590b1_12_1,gemma,865
1020220152590b1_12_1,ministral,1191
1020220152590b1_12_1,qwen,659
1020227017171B1_26_1_Claude_ADR,unknown,1100
1020227017171B1_26_1_GPT_ADR,unknown,432
1020227017171B1_26_1_Mistral_ADR,unknown,950
1020227017171b1_26_1,qwen,672
1020227017171B1_26_1_gemini_ADR,unknown,434
1020227017171b1_26_1,gemma,922
1020227017171b1_26_1,ministral,1264
1020227017171b1_26_1,qwen,739
1020230032361B1_13_1_Claude_ADR,unknown,1032
1020230032361B1_13_1_GPT_ADR,unknown,387
1020230032361B1_13_1_Mistral_ADR,unknown,1059
1020230032361b1_13_1,qwen,633
1020230032361B1_13_1_gemini_ADR,unknown,546
1020230032361b1_13_1,gemma,786
1020230032361b1_13_1,ministral,973
1020230032361b1_13_1,qwen,1066
1020230032361B1_14_2_Claude_ADR,unknown,1248
1020230032361B1_14_2_GPT_ADR,unknown,425
1020230032361B1_14_2_Mistral_ADR,unknown,1059
1020230032361b1_14_2,qwen,688
1020230032361B1_14_2_gemini_ADR,unknown,466
1020230032361b1_14_2,gemma,902
1020230032361b1_14_2,ministral,913
1020230032361b1_14_2,qwen,859
1020230040785B1_15_1_Claude_ADR,unknown,731
1020230040785B1_15_1_GPT_ADR,unknown,430
1020230040785B1_15_1_Mistral_ADR,unknown,622
1020230040785b1_15_1,qwen,613
1020230040785B1_15_1_gemini_ADR,unknown,484
1020230040785b1_15_1,gemma,888
1020230040785b1_15_1,ministral,1079
1020230040785b1_15_1,qwen,936
1020230100692B1_16_1_Claude_ADR,unknown,976
1020230100692B1_16_1_GPT_ADR,unknown,410
1020230100692B1_16_1_Mistral_ADR,unknown,709
1020230100692b1_16_1,qwen,609
1020230100692B1_16_1_gemini_ADR,unknown,452
1020230100692b1_16_1,gemma,714
1020230100692b1_16_1,ministral,1138
1020230100692b1_16_1,qwen,1192
1020230160432B1_1_1_Claude_ADR,unknown,998
1020230160432B1_1_1_GPT_ADR,unknown,446
1020230160432B1_1_1_Mistral_ADR,unknown,621
1020230160432b1_1_1,qwen,645
1020230160432B1_1_1_gemini_ADR,unknown,482
1020230160432b1_1_1,gemma,759
1020230160432b1_1_1,ministral,969
1020230160432b1_1_1,qwen,839
1020230172170B1_11_2_Claude_ADR,unknown,1064
1020230172170B1_11_2_GPT_ADR,unknown,452
1020230172170B1_11_2_Mistral_ADR,unknown,658
1020230172170b1_11_2,qwen,632
1020230172170B1_11_2_gemini_ADR,unknown,524
1020230172170b1_11_2,gemma,899
1020230172170b1_11_2,ministral,1051
1020230172170b1_11_2,qwen,717
1020237001591B1_28_1_Claude_ADR,unknown,798
1020237001591B1_28_1_GPT_ADR,unknown,429
1020237001591B1_28_1_Mistral_ADR,unknown,451
1020237001591b1_28_1,qwen,623
1020237001591B1_28_1_gemini_ADR,unknown,463
1020237001591b1_28_1,gemma,798
1020237001591b1_28_1,ministral,1274
1020237001591b1_28_1,qwen,623
1020240064612A_1_1_Claude_ADR,unknown,794
1020240064612A_1_1_GPT_ADR,unknown,405
1020240064612A_1_1_Mistral_ADR,unknown,536
1020240064612a_1_1,qwen,572
1020240064612A_1_1_gemini_ADR,unknown,413
1020240064612a_1_1,gemma,750
1020240064612a_1_1,ministral,880
1020240064612a_1_1,qwen,544
1020240066246A_11_1_Claude_ADR,unknown,1126
1020240066246A_11_1_GPT_ADR,unknown,507
1020240066246A_11_1_Mistral_ADR,unknown,573
1020240066246a_11_1,qwen,697
1020240066246A_11_1_gemini_ADR,unknown,469
1020240066246a_11_1,gemma,959
1020240066246a_11_1,ministral,947
1020240066246a_11_1,qwen,970
1020240107829B1_11_2_Claude_ADR,unknown,831
1020240107829B1_11_2_GPT_ADR,unknown,844
1020240107829B1_11_2_Mistral_ADR,unknown,789
1020240107829b1_11_2,qwen,677
1020240107829B1_11_2_gemini_ADR,unknown,450
1020240107829b1_11_2,gemma,754
1020240107829b1_11_2,ministral,931
1020240107829b1_11_2,qwen,600
1020240144590B1_20_1_Claude_ADR,unknown,835
1020240144590B1_20_1_GPT_ADR,unknown,805
1020240144590B1_20_1_Mistral_ADR,unknown,686
1020240144590b1_20_1,qwen,620
1020240144590B1_20_1_gemini_ADR,unknown,446
1020240144590b1_20_1,gemma,835
1020240144590b1_20_1,ministral,881
1020240144590b1_20_1,qwen,637
1020240169543B1_1_1_Claude_ADR,unknown,1004
1020240169543B1_1_1_GPT_ADR,unknown,861
1020240169543B1_1_1_Mistral_ADR,unknown,542
1020240169543b1_1_1,qwen,638
1020240169543B1_1_1_gemini_ADR,unknown,466
1020240169543b1_1_1,gemma,727
1020240169543b1_1_1,ministral,982
1020240169543b1_1_1,qwen,881
AI기반의스마트굴뚝자동측정기기TMS개발_157_1_Claude_ADR,unknown,1017
AI기반의스마트굴뚝자동측정기기TMS개발_157_1_GPT_ADR,unknown,372
AI기반의스마트굴뚝자동측정기기TMS개발_157_1_Mistral_ADR,unknown,613
ai기반의스마트굴뚝자동측정기기tms개발_157_1,qwen,594
AI기반의스마트굴뚝자동측정기기TMS개발_157_1_gemini_ADR,unknown,436
ai기반의스마트굴뚝자동측정기기tms개발_157_1,gemma,836
ai기반의스마트굴뚝자동측정기기tms개발_157_1,ministral,948
ai기반의스마트굴뚝자동측정기기tms개발_157_1,qwen,676
AI기반의스마트굴뚝자동측정기기TMS개발_50_2_Claude_ADR,unknown,828
AI기반의스마트굴뚝자동측정기기TMS개발_50_2_GPT_ADR,unknown,340
AI기반의스마트굴뚝자동측정기기TMS개발_50_2_Mistral_ADR,unknown,813
ai기반의스마트굴뚝자동측정기기tms개발_50_2,qwen,520
AI기반의스마트굴뚝자동측정기기TMS개발_50_2_gemini_ADR,unknown,463
ai기반의스마트굴뚝자동측정기기tms개발_50_2,gemma,709
ai기반의스마트굴뚝자동측정기기tms개발_50_2,ministral,897
ai기반의스마트굴뚝자동측정기기tms개발_50_2,qwen,611
IOT센서제어시스템개발_5_2_Claude_ADR,unknown,931
IOT센서제어시스템개발_5_2_GPT_ADR,unknown,345
IOT센서제어시스템개발_5_2_Mistral_ADR,unknown,533
iot센서제어시스템개발_5_2,qwen,679
IOT센서제어시스템개발_5_2_gemini_ADR,unknown,466
iot센서제어시스템개발_5_2,gemma,798
iot센서제어시스템개발_5_2,ministral,1260
iot센서제어시스템개발_5_2,qwen,469
IoF2020IoT개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1_Claude_ADR,unknown,1053
IoF2020IoT개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1_GPT_ADR,unknown,375
IoF2020IoT개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1_Mistral_ADR,unknown,606
iof2020iot개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1,qwen,674
IoF2020IoT개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1_gemini_ADR,unknown,475
iof2020iot개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1,gemma,777
iof2020iot개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1,ministral,937
iof2020iot개방형표준및아키텍쳐를통한글로벌농식품비즈니스통합에코시스템개발_244_1,qwen,1011
SW융합 서비스 사업화 지원 사업계획서_6_2_Claude_ADR,unknown,971
SW융합 서비스 사업화 지원 사업계획서_6_2_GPT_ADR,unknown,389
SW융합 서비스 사업화 지원 사업계획서_6_2_Mistral_ADR,unknown,585
sw융합 서비스 사업화 지원 사업계획서_6_2,qwen,657
SW융합 서비스 사업화 지원 사업계획서_6_2_gemini_ADR,unknown,408
sw융합 서비스 사업화 지원 사업계획서_6_2,gemma,930
sw융합 서비스 사업화 지원 사업계획서_6_2,ministral,1151
sw융합 서비스 사업화 지원 사업계획서_6_2,qwen,769
TCC-0085(NFC기반지하매설물정보제공스마트표지기)-최종본_13_2_Claude_ADR,unknown,987
TCC-0085(NFC기반지하매설물정보제공스마트표지기)-최종본_13_2_GPT_ADR,unknown,914
TCC-0085(NFC기반지하매설물정보제공스마트표지기)-최종본_13_2_Mistral_ADR,unknown,556
tcc-0085(nfc기반지하매설물정보제공스마트표지기)-최종본_13_2,qwen,676
TCC-0085(NFC기반지하매설물정보제공스마트표지기)-최종본_13_2_gemini_ADR,unknown,470
tcc-0085(nfc기반지하매설물정보제공스마트표지기)-최종본_13_2,gemma,894
tcc-0085(nfc기반지하매설물정보제공스마트표지기)-최종본_13_2,ministral,1126
tcc-0085(nfc기반지하매설물정보제공스마트표지기)-최종본_13_2,qwen,799
국내실정에적합한스마트팜개발전략6차산업의발전을위한ICT기술적특성을중심으로_3_1_Claude_ADR,unknown,1037
국내실정에적합한스마트팜개발전략6차산업의발전을위한ICT기술적특성을중심으로_3_1_GPT_ADR,unknown,349
국내실정에적합한스마트팜개발전략6차산업의발전을위한ICT기술적특성을중심으로_3_1_Mistral_ADR,unknown,550
국내실정에적합한스마트팜개발전략6차산업의발전을위한ict기술적특성을중심으로_3_1,qwen,668
국내실정에적합한스마트팜개발전략6차산업의발전을위한ICT기술적특성을중심으로_3_1_gemini_ADR,unknown,475
국내실정에적합한스마트팜개발전략6차산업의발전을위한ict기술적특성을중심으로_3_1,gemma,748
국내실정에적합한스마트팜개발전략6차산업의발전을위한ict기술적특성을중심으로_3_1,ministral,1413
국내실정에적합한스마트팜개발전략6차산업의발전을위한ict기술적특성을중심으로_3_1,qwen,790
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1_Claude_ADR,unknown,642
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1_GPT_ADR,unknown,378
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1_Mistral_ADR,unknown,460
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1,qwen,640
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1_gemini_ADR,unknown,410
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1,gemma,804
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1,ministral,990
기후변화대응을위한코닉형태양광발전연계스마트팜옥상재배시스템개발_31_1,qwen,538
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2_Claude_ADR,unknown,1031
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2_GPT_ADR,unknown,378
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2_Mistral_ADR,unknown,617
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2,qwen,690
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2_gemini_ADR,unknown,430
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2,gemma,833
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2,ministral,918
노지농업의재배생산성향상을위한작물생육도생육환경모니터링및작업관리시스템개발_20_2,qwen,621
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2_Claude_ADR,unknown,1135
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2_GPT_ADR,unknown,403
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2_Mistral_ADR,unknown,442
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2,qwen,638
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2_gemini_ADR,unknown,422
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2,gemma,900
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2,ministral,1162
노지스마트팜실시간생육정보모니터링및관개제어를위한무선센서네트워크시스템구축및활용연구_23_2,qwen,891
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2_Claude_ADR,unknown,862
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2_GPT_ADR,unknown,378
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2_Mistral_ADR,unknown,417
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2,qwen,667
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2_gemini_ADR,unknown,469
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2,gemma,755
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2,ministral,1120
노지작물벼밀양파자동화기술현장실증및데이터관리플랫폼구축_34_2,qwen,546
동충하초생육환경빅데이터구축과오염발생최소화를위한AI기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1_Claude_ADR,unknown,989
동충하초생육환경빅데이터구축과오염발생최소화를위한AI기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1_GPT_ADR,unknown,420
동충하초생육환경빅데이터구축과오염발생최소화를위한AI기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1_Mistral_ADR,unknown,670
동충하초생육환경빅데이터구축과오염발생최소화를위한ai기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1,qwen,643
동충하초생육환경빅데이터구축과오염발생최소화를위한AI기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1_gemini_ADR,unknown,495
동충하초생육환경빅데이터구축과오염발생최소화를위한ai기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1,gemma,826
동충하초생육환경빅데이터구축과오염발생최소화를위한ai기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1,ministral,873
동충하초생육환경빅데이터구축과오염발생최소화를위한ai기반판별및예측솔루션기술개발을통한동충하초대량재배플랫폼구축_2_1,qwen,889
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1_Claude_ADR,unknown,1234
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1_GPT_ADR,unknown,424
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1_Mistral_ADR,unknown,452
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1,qwen,794
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1_gemini_ADR,unknown,479
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1,gemma,796
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1,ministral,1113
디지털트윈기반스마트팜공간기류최적화플랫폼기술개발_15_1,qwen,960
밀생산성향상디지털농업모델개발및실증_254_1_Claude_ADR,unknown,1042
밀생산성향상디지털농업모델개발및실증_254_1_GPT_ADR,unknown,390
밀생산성향상디지털농업모델개발및실증_254_1_Mistral_ADR,unknown,508
밀생산성향상디지털농업모델개발및실증_254_1,qwen,650
밀생산성향상디지털농업모델개발및실증_254_1_gemini_ADR,unknown,424
밀생산성향상디지털농업모델개발및실증_254_1,gemma,711
밀생산성향상디지털농업모델개발및실증_254_1,ministral,1014
밀생산성향상디지털농업모델개발및실증_254_1,qwen,750
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4_Claude_ADR,unknown,1080
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4_GPT_ADR,unknown,936
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4_Mistral_ADR,unknown,468
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4,qwen,655
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4_gemini_ADR,unknown,488
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4,gemma,814
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4,ministral,903
배액복잡계의개별이온모니터링을기반으로한양액제어시스템및양액자동공급장치개발_11_4,qwen,849
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1_Claude_ADR,unknown,1029
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1_GPT_ADR,unknown,451
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1_Mistral_ADR,unknown,1135
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1,qwen,688
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1_gemini_ADR,unknown,478
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1,gemma,823
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1,ministral,923
벼재배관련빅데이터활용생산및영농정보지원스마트팜기반구축_24_1,qwen,761
스마트 축산기술 및 연구 동향_64_1_Claude_ADR,unknown,956
스마트 축산기술 및 연구 동향_64_1_GPT_ADR,unknown,488
스마트 축산기술 및 연구 동향_64_1_Mistral_ADR,unknown,753
스마트 축산기술 및 연구 동향_64_1,qwen,753
스마트 축산기술 및 연구 동향_64_1_gemini_ADR,unknown,488
스마트 축산기술 및 연구 동향_64_1,gemma,851
스마트 축산기술 및 연구 동향_64_1,ministral,1255
스마트 축산기술 및 연구 동향_64_1,qwen,887
스마트양잠영농자동화기반기술개발_21_1_Claude_ADR,unknown,973
스마트양잠영농자동화기반기술개발_21_1_GPT_ADR,unknown,456
스마트양잠영농자동화기반기술개발_21_1_Mistral_ADR,unknown,450
스마트양잠영농자동화기반기술개발_21_1,qwen,674
스마트양잠영농자동화기반기술개발_21_1_gemini_ADR,unknown,472
스마트양잠영농자동화기반기술개발_21_1,gemma,836
스마트양잠영농자동화기반기술개발_21_1,ministral,1232
스마트양잠영농자동화기반기술개발_21_1,qwen,802
스마트팜ICT기기표준의확대고도화연구_23_1_Claude_ADR,unknown,1123
스마트팜ICT기기표준의확대고도화연구_23_1_GPT_ADR,unknown,455
스마트팜ICT기기표준의확대고도화연구_23_1_Mistral_ADR,unknown,814
스마트팜ict기기표준의확대고도화연구_23_1,qwen,757
스마트팜ICT기기표준의확대고도화연구_23_1_gemini_ADR,unknown,485
스마트팜ict기기표준의확대고도화연구_23_1,gemma,813
스마트팜ict기기표준의확대고도화연구_23_1,ministral,999
스마트팜ict기기표준의확대고도화연구_23_1,qwen,602
스마트팜구현을위한모듈형IoT컨트롤러및운영플랫폼_5_1_Claude_ADR,unknown,1080
스마트팜구현을위한모듈형IoT컨트롤러및운영플랫폼_5_1_GPT_ADR,unknown,446
스마트팜구현을위한모듈형IoT컨트롤러및운영플랫폼_5_1_Mistral_ADR,unknown,599
스마트팜구현을위한모듈형iot컨트롤러및운영플랫폼_5_1,qwen,645
스마트팜구현을위한모듈형IoT컨트롤러및운영플랫폼_5_1_gemini_ADR,unknown,481
스마트팜구현을위한모듈형iot컨트롤러및운영플랫폼_5_1,gemma,750
스마트팜구현을위한모듈형iot컨트롤러및운영플랫폼_5_1,ministral,1543
스마트팜구현을위한모듈형iot컨트롤러및운영플랫폼_5_1,qwen,842
스마트팜국제표준화기반구축_14_1_Claude_ADR,unknown,1086
스마트팜국제표준화기반구축_14_1_GPT_ADR,unknown,473
스마트팜국제표준화기반구축_14_1_Mistral_ADR,unknown,556
스마트팜국제표준화기반구축_14_1,qwen,705
스마트팜국제표준화기반구축_14_1_gemini_ADR,unknown,561
스마트팜국제표준화기반구축_14_1,gemma,853
스마트팜국제표준화기반구축_14_1,ministral,1091
스마트팜국제표준화기반구축_14_1,qwen,583
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1_Claude_ADR,unknown,979
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1_GPT_ADR,unknown,446
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1_Mistral_ADR,unknown,478
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1,qwen,657
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1_gemini_ADR,unknown,472
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1,gemma,773
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1,ministral,859
스마트팜기술을응용한인공지능복합환경제어및영상분석채렴시스템개발_8_1,qwen,650
스마트팜농업규격기자재통합제어시스템_33_1_Claude_ADR,unknown,1161
스마트팜농업규격기자재통합제어시스템_33_1_GPT_ADR,unknown,583
스마트팜농업규격기자재통합제어시스템_33_1_Mistral_ADR,unknown,614
스마트팜농업규격기자재통합제어시스템_33_1,qwen,721
스마트팜농업규격기자재통합제어시스템_33_1_gemini_ADR,unknown,514
스마트팜농업규격기자재통합제어시스템_33_1,gemma,865
스마트팜농업규격기자재통합제어시스템_33_1,ministral,1119
스마트팜농업규격기자재통합제어시스템_33_1,qwen,1126
스마트팜상용화통합솔루션기술개발_134_1_Claude_ADR,unknown,933
스마트팜상용화통합솔루션기술개발_134_1_GPT_ADR,unknown,458
스마트팜상용화통합솔루션기술개발_134_1_Mistral_ADR,unknown,901
스마트팜상용화통합솔루션기술개발_134_1,qwen,812
스마트팜상용화통합솔루션기술개발_134_1_gemini_ADR,unknown,441
스마트팜상용화통합솔루션기술개발_134_1,gemma,876
스마트팜상용화통합솔루션기술개발_134_1,ministral,1034
스마트팜상용화통합솔루션기술개발_134_1,qwen,1001
